locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAHELFL_01091	CDS	237				hypothetical protein
LMAHELFL_01092	CDS	435	slyA_1		COG1846	Transcriptional regulator SlyA
LMAHELFL_01093	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
LMAHELFL_01094	CDS	1122	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
LMAHELFL_01095	CDS	363	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
LMAHELFL_01096	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
LMAHELFL_01097	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
LMAHELFL_01098	CDS	861	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
LMAHELFL_01099	CDS	606	gstA	2.5.1.18	COG0625	Glutathione S-transferase GstA
LMAHELFL_01100	CDS	1506	dtpA		COG3104	Dipeptide and tripeptide permease A
LMAHELFL_01101	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
LMAHELFL_01102	CDS	693	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
LMAHELFL_01103	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
LMAHELFL_01104	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
LMAHELFL_01105	CDS	2208	rsxC_1	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
LMAHELFL_01106	CDS	579	rsxB_2	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
LMAHELFL_01107	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
LMAHELFL_01108	CDS	441	ydgK			Inner membrane protein YdgK
LMAHELFL_01109	CDS	216	ydgT			Transcription modulator YdgT
LMAHELFL_01110	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
LMAHELFL_01111	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
LMAHELFL_01112	CDS	1509	ydgA		COG5339	Protein YdgA
LMAHELFL_01113	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
LMAHELFL_01114	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
LMAHELFL_01115	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
LMAHELFL_01116	CDS	930	tus			DNA replication terminus site-binding protein
LMAHELFL_01117	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
LMAHELFL_01118	CDS	1701	nfdA	3.5.1.91		N-substituted formamide deformylase
LMAHELFL_01119	CDS	1152	ompN_1		COG3203	Outer membrane porin N
LMAHELFL_01120	CDS	732	rstA		COG0745	Transcriptional regulatory protein RstA
LMAHELFL_01121	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
LMAHELFL_01122	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
LMAHELFL_01123	CDS	945	ydgH			Protein YdgH
LMAHELFL_01124	CDS	1530	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
LMAHELFL_01125	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
LMAHELFL_01126	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
LMAHELFL_01127	CDS	363	mdtJ		COG2076	Spermidine export protein MdtJ
LMAHELFL_01128	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
LMAHELFL_01129	CDS	822				hypothetical protein
LMAHELFL_01130	CDS	249	asr			Acid shock protein
LMAHELFL_01131	CDS	1254	ynfM_2			Inner membrane transport protein YnfM
LMAHELFL_01132	CDS	900	benM_1			HTH-type transcriptional regulator BenM
LMAHELFL_01133	CDS	1221	mlc		COG1940	Protein mlc
LMAHELFL_01134	CDS	696	bioD1_2	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
LMAHELFL_01135	CDS	1254	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
LMAHELFL_01136	CDS	1149	osmV	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
LMAHELFL_01137	CDS	648	osmW		COG1174	Osmoprotectant import permease protein OsmW
LMAHELFL_01138	CDS	903	osmX		COG1732	Osmoprotectant-binding protein OsmX
LMAHELFL_01139	CDS	711	osmY_1		COG1174	Osmoprotectant import permease protein OsmY
LMAHELFL_01140	CDS	615	dmsD_2		COG3381	Tat proofreading chaperone DmsD
LMAHELFL_01141	CDS	855	dmsC_2		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
LMAHELFL_01142	CDS	618	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
LMAHELFL_01143	CDS	2436	ynfF	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
LMAHELFL_01144	CDS	2439	ynfE_2	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
LMAHELFL_01145	CDS	306	ynfD			putative protein YnfD
LMAHELFL_01146	CDS	678				hypothetical protein
LMAHELFL_01147	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
LMAHELFL_01148	CDS	342				hypothetical protein
LMAHELFL_01149	CDS	336				hypothetical protein
LMAHELFL_01150	CDS	1215	rspA_1	4.2.1.-		D-galactonate dehydratase family member RspA
LMAHELFL_01151	CDS	1020	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
LMAHELFL_01152	CDS	1380	ydfJ			Putative transporter YdfJ
LMAHELFL_01153	CDS	1467	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
LMAHELFL_01154	CDS	204	ydfZ			Putative selenoprotein YdfZ
LMAHELFL_01155	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
LMAHELFL_01156	CDS	747	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
LMAHELFL_01157	CDS	2043	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
LMAHELFL_01158	CDS	183				hypothetical protein
LMAHELFL_01159	CDS	528	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
LMAHELFL_01160	CDS	393	ygiW_1		COG3111	Protein YgiW
LMAHELFL_01161	CDS	96	mgtS			Small protein MgtS
LMAHELFL_01162	CDS	1188	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
LMAHELFL_01163	CDS	903	eamA		COG0697	putative amino-acid metabolite efflux pump
LMAHELFL_01164	CDS	210				hypothetical protein
LMAHELFL_01165	CDS	384	marA_2			Multiple antibiotic resistance protein MarA
LMAHELFL_01166	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
LMAHELFL_01167	CDS	666				hypothetical protein
LMAHELFL_01168	CDS	1191	sotB		COG2814	Sugar efflux transporter
LMAHELFL_01169	CDS	873	gltR		COG0583	HTH-type transcriptional regulator GltR
LMAHELFL_01170	CDS	1389	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
LMAHELFL_01171	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
LMAHELFL_01172	CDS	360				hypothetical protein
LMAHELFL_01173	CDS	948				hypothetical protein
LMAHELFL_01174	CDS	528				hypothetical protein
LMAHELFL_01175	CDS	1119	ompC_1			Outer membrane porin C
LMAHELFL_01176	CDS	342	hybF_1		COG0375	Hydrogenase maturation factor HybF
LMAHELFL_01177	CDS	888				hypothetical protein
LMAHELFL_01178	CDS	1062	norV_1			Anaerobic nitric oxide reductase flavorubredoxin
LMAHELFL_01179	CDS	411				hypothetical protein
LMAHELFL_01180	CDS	300				hypothetical protein
LMAHELFL_01181	CDS	609	hyaD_1	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
LMAHELFL_01182	CDS	675	hyaC_1		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
LMAHELFL_01183	CDS	1803	hyaB_1	1.12.99.6	COG0374	Hydrogenase-1 large chain
LMAHELFL_01184	CDS	1104	hoxK	1.12.99.6		Uptake hydrogenase small subunit
LMAHELFL_01185	CDS	153				hypothetical protein
LMAHELFL_01186	CDS	1089				hypothetical protein
LMAHELFL_01187	CDS	672	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
LMAHELFL_01188	CDS	1026	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
LMAHELFL_01189	CDS	1287	exuT_1			Hexuronate transporter
LMAHELFL_01190	CDS	1491				hypothetical protein
LMAHELFL_01191	CDS	1242	tetA			Tetracycline resistance protein, class C
LMAHELFL_01192	CDS	1509	tetX	1.14.13.231	COG0654	Flavin-dependent monooxygenase
LMAHELFL_01193	CDS	489	slyA_2			Transcriptional regulator SlyA
LMAHELFL_01194	CDS	1074	queA_2	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LMAHELFL_01195	CDS	333				hypothetical protein
LMAHELFL_01196	CDS	930				hypothetical protein
LMAHELFL_01197	CDS	2574	clpB		COG0542	Chaperone protein ClpB
LMAHELFL_01198	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
LMAHELFL_01199	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
LMAHELFL_01200	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
LMAHELFL_01201	CDS	339	raiA		COG1544	Ribosome-associated inhibitor A
LMAHELFL_01202	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
LMAHELFL_01203	CDS	909		3.1.1.99		6-deoxy-6-sulfogluconolactonase
LMAHELFL_01204	CDS	1122	tyrA		COG0287	T-protein
LMAHELFL_01205	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
LMAHELFL_01206	CDS	519				hypothetical protein
LMAHELFL_01207	CDS	1221	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
LMAHELFL_01208	CDS	348	rplS		COG0335	50S ribosomal protein L19
LMAHELFL_01209	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
LMAHELFL_01210	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
LMAHELFL_01211	CDS	249	rpsP		COG0228	30S ribosomal protein S16
LMAHELFL_01212	CDS	1362	ffh		COG0541	Signal recognition particle protein
LMAHELFL_01213	CDS	792	ypjD		COG4137	Inner membrane protein YpjD
LMAHELFL_01214	CDS	1242				hypothetical protein
LMAHELFL_01215	CDS	606				hypothetical protein
LMAHELFL_01216	CDS	591	grpE		COG0576	Protein GrpE
LMAHELFL_01217	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
LMAHELFL_01218	CDS	1662	recN		COG0497	DNA repair protein RecN
LMAHELFL_01219	CDS	339	bamE		COG2913	Outer membrane protein assembly factor BamE
LMAHELFL_01220	CDS	291				hypothetical protein
LMAHELFL_01221	CDS	438	ratA		COG2867	Ribosome association toxin RatA
LMAHELFL_01222	CDS	528	smpB		COG0691	SsrA-binding protein
LMAHELFL_01223	CDS	11475				hypothetical protein
LMAHELFL_01224	CDS	1410	bepC			Outer membrane efflux protein BepC
LMAHELFL_01225	CDS	2181	ltxB	7.4.2.5	COG2274	Leukotoxin export ATP-binding protein LtxB
LMAHELFL_01226	CDS	1191	prsE_1			Type I secretion system membrane fusion protein PrsE
LMAHELFL_01227	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
LMAHELFL_01228	CDS	243				hypothetical protein
LMAHELFL_01229	CDS	1119				hypothetical protein
LMAHELFL_01230	CDS	1701				hypothetical protein
LMAHELFL_01231	CDS	546				hypothetical protein
LMAHELFL_01232	CDS	726				hypothetical protein
LMAHELFL_01233	CDS	555				hypothetical protein
LMAHELFL_01234	CDS	2106				hypothetical protein
LMAHELFL_01235	CDS	588				hypothetical protein
LMAHELFL_01236	CDS	1185				hypothetical protein
LMAHELFL_01237	CDS	330				hypothetical protein
LMAHELFL_01238	CDS	1971				hypothetical protein
LMAHELFL_01239	CDS	258				hypothetical protein
LMAHELFL_01240	CDS	333				hypothetical protein
LMAHELFL_01241	CDS	342				hypothetical protein
LMAHELFL_01242	CDS	294				hypothetical protein
LMAHELFL_01243	CDS	456				hypothetical protein
LMAHELFL_01244	CDS	1128				hypothetical protein
LMAHELFL_01245	CDS	708				hypothetical protein
LMAHELFL_01246	CDS	507				hypothetical protein
LMAHELFL_01247	CDS	504				hypothetical protein
LMAHELFL_01248	CDS	702				hypothetical protein
LMAHELFL_01249	CDS	1023				hypothetical protein
LMAHELFL_01250	CDS	804				hypothetical protein
LMAHELFL_01251	CDS	1776				hypothetical protein
LMAHELFL_01252	CDS	1062				hypothetical protein
LMAHELFL_01253	CDS	270				hypothetical protein
LMAHELFL_01254	CDS	213				hypothetical protein
LMAHELFL_01255	CDS	2022				hypothetical protein
LMAHELFL_01256	CDS	834	dam_1	2.1.1.72	COG0338	DNA adenine methylase
LMAHELFL_01257	CDS	330				hypothetical protein
LMAHELFL_01258	CDS	231				hypothetical protein
LMAHELFL_01259	CDS	402				hypothetical protein
LMAHELFL_01260	CDS	195				hypothetical protein
LMAHELFL_01261	CDS	228				hypothetical protein
LMAHELFL_01262	CDS	591				hypothetical protein
LMAHELFL_01263	CDS	204				hypothetical protein
LMAHELFL_01264	CDS	567				hypothetical protein
LMAHELFL_01265	CDS	1011	xerC_1			Tyrosine recombinase XerC
LMAHELFL_01266	CDS	1194	intA_1		COG0582	Prophage integrase IntA
LMAHELFL_01267	CDS	606				hypothetical protein
LMAHELFL_01268	CDS	894				hypothetical protein
LMAHELFL_01269	CDS	567				hypothetical protein
LMAHELFL_01270	CDS	246				hypothetical protein
LMAHELFL_01271	CDS	738				hypothetical protein
LMAHELFL_01272	CDS	267				hypothetical protein
LMAHELFL_01273	CDS	195				hypothetical protein
LMAHELFL_01274	CDS	228				hypothetical protein
LMAHELFL_01275	CDS	321				hypothetical protein
LMAHELFL_01276	CDS	2334				hypothetical protein
LMAHELFL_01277	CDS	471				hypothetical protein
LMAHELFL_01278	CDS	1521	fljB_1		COG1344	Phase 2 flagellin
LMAHELFL_01279	CDS	573	hin_1		COG1961	DNA-invertase hin
LMAHELFL_01280	CDS	1116	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT
LMAHELFL_01281	CDS	3657		3.6.3.-		Multidrug efflux ATP-binding/permease protein
LMAHELFL_01282	CDS	1245	fes_2		COG2382	Enterochelin esterase
LMAHELFL_01283	CDS	936				hypothetical protein
LMAHELFL_01284	CDS	2175	pfeA		COG4771	Ferric enterobactin receptor
LMAHELFL_01285	CDS	312				hypothetical protein
LMAHELFL_01286	CDS	1053	pipB2		COG1357	Secreted effector protein PipB2
LMAHELFL_01287	CDS	930				hypothetical protein
LMAHELFL_01288	CDS	897				hypothetical protein
LMAHELFL_01289	CDS	114				hypothetical protein
LMAHELFL_01290	CDS	1014	hoxN			High-affinity nickel transport protein
LMAHELFL_01291	CDS	1416	qseC_1	2.7.13.3		Sensor protein QseC
LMAHELFL_01292	CDS	675	tctD		COG0745	Transcriptional regulatory protein tctD
LMAHELFL_01293	CDS	978				hypothetical protein
LMAHELFL_01294	CDS	432				hypothetical protein
LMAHELFL_01295	CDS	1515				hypothetical protein
LMAHELFL_01296	CDS	135				hypothetical protein
LMAHELFL_01297	CDS	117				hypothetical protein
LMAHELFL_01298	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
LMAHELFL_01299	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
LMAHELFL_01300	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
LMAHELFL_01301	CDS	1284	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
LMAHELFL_01302	CDS	1401	gabP		COG1113	GABA permease
LMAHELFL_01303	CDS	678	glaR		COG1802	HTH-type transcriptional repressor GlaR
LMAHELFL_01304	CDS	450	kbp		COG1652	Potassium binding protein Kbp
LMAHELFL_01305	CDS	159				hypothetical protein
LMAHELFL_01306	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
LMAHELFL_01307	CDS	528	ygaP		COG0607	Inner membrane protein YgaP
LMAHELFL_01308	CDS	180				hypothetical protein
LMAHELFL_01309	CDS	402	stpA		COG2916	DNA-binding protein StpA
LMAHELFL_01310	CDS	450	alaE			L-alanine exporter AlaE
LMAHELFL_01311	CDS	351				hypothetical protein
LMAHELFL_01312	CDS	327	ygaM		COG4575	putative protein YgaM
LMAHELFL_01313	CDS	1335	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
LMAHELFL_01314	CDS	432	ahpD	1.11.1.15		Alkyl hydroperoxide reductase AhpD
LMAHELFL_01315	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
LMAHELFL_01316	CDS	411	nrdI		COG1780	Protein NrdI
LMAHELFL_01317	CDS	2118	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
LMAHELFL_01318	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
LMAHELFL_01319	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
LMAHELFL_01320	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
LMAHELFL_01321	CDS	996	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
LMAHELFL_01322	CDS	1185				putative transporter
LMAHELFL_01323	CDS	531	mprA		COG1846	Transcriptional repressor MprA
LMAHELFL_01324	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
LMAHELFL_01325	CDS	1539	emrB			Multidrug export protein EmrB
LMAHELFL_01326	CDS	1371				hypothetical protein
LMAHELFL_01327	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
LMAHELFL_01328	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
LMAHELFL_01329	CDS	426	yqaA		COG1238	Inner membrane protein YqaA
LMAHELFL_01330	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
LMAHELFL_01331	tRNA	77				tRNA-Arg(acg)
LMAHELFL_01332	tRNA	77				tRNA-Arg(acg)
LMAHELFL_01333	tRNA	77				tRNA-Arg(acg)
LMAHELFL_01334	tRNA	77				tRNA-Arg(acg)
LMAHELFL_01335	tRNA	93				tRNA-Ser(gct)
LMAHELFL_01336	CDS	186	csrA		COG1551	Carbon storage regulator
LMAHELFL_01337	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
LMAHELFL_01338	CDS	540	recX		COG2137	Regulatory protein RecX
LMAHELFL_01339	CDS	1062	recA		COG0468	Protein RecA
LMAHELFL_01340	CDS	489	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
LMAHELFL_01341	CDS	246				hypothetical protein
LMAHELFL_01342	CDS	1080	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
LMAHELFL_01343	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
LMAHELFL_01344	CDS	972	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
LMAHELFL_01345	CDS	363	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
LMAHELFL_01346	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
LMAHELFL_01347	CDS	360				hypothetical protein
LMAHELFL_01348	CDS	774	srlR_1		COG1349	Glucitol operon repressor
LMAHELFL_01349	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
LMAHELFL_01350	CDS	1521	norR_2		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
LMAHELFL_01351	CDS	1440	norV_2		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
LMAHELFL_01352	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
LMAHELFL_01353	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
LMAHELFL_01354	CDS	546	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
LMAHELFL_01355	CDS	810				hypothetical protein
LMAHELFL_01356	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
LMAHELFL_01357	CDS	411				hypothetical protein
LMAHELFL_01358	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
LMAHELFL_01359	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
LMAHELFL_01360	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
LMAHELFL_01361	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
LMAHELFL_01362	CDS	1827	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
LMAHELFL_01363	CDS	600	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
LMAHELFL_01364	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
LMAHELFL_01365	CDS	357	hypA		COG0375	Hydrogenase maturation factor HypA
LMAHELFL_01366	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
LMAHELFL_01367	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
LMAHELFL_01368	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
LMAHELFL_01369	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
LMAHELFL_01370	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator
LMAHELFL_01371	CDS	345				hypothetical protein
LMAHELFL_01372	CDS	918			COG0803	putative periplasmic iron-binding protein
LMAHELFL_01373	CDS	822	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
LMAHELFL_01374	CDS	861	mntB_2			Manganese transport system membrane protein MntB
LMAHELFL_01375	CDS	849	mntB_3			Manganese transport system membrane protein MntB
LMAHELFL_01376	CDS	867	yopJ			Effector protein YopJ
LMAHELFL_01377	CDS	756				hypothetical protein
LMAHELFL_01378	CDS	888	rhaR_3			HTH-type transcriptional activator RhaR
LMAHELFL_01379	CDS	453				hypothetical protein
LMAHELFL_01380	CDS	681	orgB			Oxygen-regulated invasion protein OrgB
LMAHELFL_01381	CDS	579	orgA			Oxygen-regulated invasion protein OrgA
LMAHELFL_01382	CDS	759	prgK		COG4669	Lipoprotein PrgK
LMAHELFL_01383	CDS	306				hypothetical protein
LMAHELFL_01384	CDS	243	prgI			Protein PrgI
LMAHELFL_01385	CDS	1236	prgH			Protein PrgH
LMAHELFL_01386	CDS	930	rhaR_4			HTH-type transcriptional activator RhaR
LMAHELFL_01387	CDS	1662	hilA		COG0457	Transcriptional regulator HilA
LMAHELFL_01388	CDS	483				hypothetical protein
LMAHELFL_01389	CDS	1608	sptP			Secreted effector protein SptP
LMAHELFL_01390	CDS	393	sicP			Chaperone protein sicP
LMAHELFL_01391	CDS	261				hypothetical protein
LMAHELFL_01392	CDS	249	acpP_2		COG0236	Acyl carrier protein
LMAHELFL_01393	CDS	2058	sipA			Cell invasion protein SipA
LMAHELFL_01394	CDS	1032	sipD			Cell invasion protein SipD
LMAHELFL_01395	CDS	1230	sipC			Cell invasion protein SipC
LMAHELFL_01396	CDS	1782	sipB			Cell invasion protein SipB
LMAHELFL_01397	CDS	498	sicA		COG0457	Chaperone protein SicA
LMAHELFL_01398	CDS	1071	spaS		COG1377	Surface presentation of antigens protein SpaS
LMAHELFL_01399	CDS	792	spaR_2		COG4791	Surface presentation of antigens protein SpaR
LMAHELFL_01400	CDS	261	spaQ_2		COG4794	Surface presentation of antigens protein SpaQ
LMAHELFL_01401	CDS	675	spaP_2		COG4790	Surface presentation of antigens protein SpaP
LMAHELFL_01402	CDS	912	spaO		COG1886	Surface presentation of antigens protein SpaO
LMAHELFL_01403	CDS	1011				hypothetical protein
LMAHELFL_01404	CDS	444				hypothetical protein
LMAHELFL_01405	CDS	1296	spaL	7.1.2.2	COG1157	putative ATP synthase SpaL
LMAHELFL_01406	CDS	408	spaK			Surface presentation of antigens protein SpaK
LMAHELFL_01407	CDS	2058	invA		COG4789	Invasion protein InvA
LMAHELFL_01408	CDS	1119	mxiC			Protein MxiC
LMAHELFL_01409	CDS	1689	sctC_2		COG1450	Type 3 secretion system secretin
LMAHELFL_01410	CDS	750	invF			Invasion protein InvF
LMAHELFL_01411	CDS	444	invH			Type 3 secretion system pilotin
LMAHELFL_01412	CDS	450				hypothetical protein
LMAHELFL_01413	CDS	333				hypothetical protein
LMAHELFL_01414	CDS	327				hypothetical protein
LMAHELFL_01415	CDS	282				hypothetical protein
LMAHELFL_01416	CDS	528				hypothetical protein
LMAHELFL_01417	CDS	141				hypothetical protein
LMAHELFL_01418	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
LMAHELFL_01419	CDS	495				hypothetical protein
LMAHELFL_01420	CDS	669				hypothetical protein
LMAHELFL_01421	CDS	2568	mutS		COG0249	DNA mismatch repair protein MutS
LMAHELFL_01422	CDS	381				hypothetical protein
LMAHELFL_01423	CDS	1209	jefA			Drug efflux pump JefA
LMAHELFL_01424	CDS	912	dmlR_5			HTH-type transcriptional regulator DmlR
LMAHELFL_01425	CDS	1497	gntT_1		COG2610	High-affinity gluconate transporter
LMAHELFL_01426	CDS	951	denD	1.1.1.410	COG0451	D-erythronate dehydrogenase
LMAHELFL_01427	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
LMAHELFL_01428	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
LMAHELFL_01429	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
LMAHELFL_01430	CDS	924	ltnD	1.1.1.411		L-threonate dehydrogenase
LMAHELFL_01431	CDS	765	srlR_2		COG1349	Glucitol operon repressor
LMAHELFL_01432	CDS	405	hosA			Transcriptional regulator HosA
LMAHELFL_01433	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
LMAHELFL_01434	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
LMAHELFL_01435	CDS	237	vdcD			Protein VdcD
LMAHELFL_01436	CDS	993	rpoS			RNA polymerase sigma factor RpoS
LMAHELFL_01437	CDS	1134	nlpD_1			Murein hydrolase activator NlpD
LMAHELFL_01438	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
LMAHELFL_01439	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
LMAHELFL_01440	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
LMAHELFL_01441	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
LMAHELFL_01442	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
LMAHELFL_01443	CDS	312	ftsB		COG2919	Cell division protein FtsB
LMAHELFL_01444	CDS	324	ygbE			Inner membrane protein YgbE
LMAHELFL_01445	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
LMAHELFL_01446	CDS	1440	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
LMAHELFL_01447	CDS	909	cysD_1	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
LMAHELFL_01448	CDS	1047				hypothetical protein
	repeat_region	700				
LMAHELFL_01449	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
